drug_id,drug_name,brand_name,active_ingredient,gene_symbol,clinpgx_id,ncbi_id,boxed_warning,indications
111,"avobenzone, octisalate, octocrylene, homosalate",Triple Prep SPF 40,OCTISALATE,,,,None,Stop use and ask a doctor if rash occurs
112,brompheniramine maleate,CVS PHARMACY Childrens Cold and Allergy,BROMPHENIRAMINE MALEATE,,,,None,"Uses ▪ temporarily relieves: ▪ runny nose ▪ sneezing ▪ itchy, watery eyes due to hay fever ▪ itching of the nose or throat"
113,lorlatinib,Lorbrena,LORLATINIB,,,,None,"1 INDICATIONS AND USAGE LORBRENA ® is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test. LORBRENA is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test. ( 1 , 2.1 )"
114,allopurinol,Allopurinol,ALLOPURINOL,,,,None,"INDICATIONS AND USAGE THIS IS NOT AN INNOCUOUS DRUG. IT IS NOT RECOMMENDED FOR THE TREATMENT OF ASYMPTOMATIC HYPERURICEMIA. Allopurinol tablets USP reduces serum and urinary uric acid concentrations. Its use should be individualized for each patient and requires an understanding of its mode of action and pharmacokinetics (see CLINICAL PHARMACOLOGY , CONTRAINDICATIONS , WARNINGS , and PRECAUTIONS ). Allopurinol tablet USP is indicated in: the management of patients with signs and symptoms of prim"
115,"glycerin 14.4%, lidocaine 5%, petrolatum 15%, phenylephrine hcl 0.25%",Revivol Hemorrhoid and Fissure,LIDOCAINE,,,,None,"For the temporary relief of pain, soreness, and burning. Helps relieve the local itching and discomfort associated with hemorrhoids. Temporarily shrinks hemorrhoidal tissue. Temporarily provides a coating for the relief of anorectal discomforts. Temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful."
116,simethicone,Leader Gas relief,DIMETHICONE,,,,None,USE(S) relieves: pressure bloating symptoms referred to as gas
117,lidocaine hydrochloride,Accucaine,LIDOCAINE HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE Lidocaine Hydrochloride Injection, USP is indicated for production of local or regional anesthesia by infiltration techniques such as percutaneous injection and intravenous regional anesthesia by peripheral nerve block techniques such as brachial plexus and intercostal and by central neural techniques such as lumbar and caudal epidural blocks, when the accepted procedures for these techniques as described in standard textbooks are observed."
118,aluminium sulphuricum,Aluminium Sulphuricum,ALUMINUM SULFATE,,,,None,N/A
119,"ps - 2895 triple antibiotic , 0.5g","PS - 2895 Triple Antibiotic , 0.5g",BACITRACIN ZINC,,,,None,"Use(s) First aid to help prevent infection in minor cuts, scrapes, and burns"
120,amanita pantherina,Amanita Pantherina,AMANITA PANTHERINA FRUITING BODY,,,,None,N/A
121,clotrimazole,Clotrimazole,CLOTRIMAZOLE,,,,None,"Uses Cures athlete’s foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis). Relieves the itching, irritation, redness, scaling and discomfort which can accompany these conditions."
122,diclofenac sodium,Diclofenac Sodium,DICLOFENAC SODIUM,,,,None,"Uses for the temporary relief of arthritis pain ONLY in the following areas: hand, wrist, elbow (upper body areas) foot, ankle, knee (lower body areas) this product may take up to 7 days to work for arthritis pain; it is not for immediate relief. If no pain relief in 7 days, stop use."
123,tocilizumab,Tofidence,TOCILIZUMAB,,,,"WARNING: RISK OF SERIOUS INFECTIONS Patients treated with tocilizumab products including TOFIDENCE are at increased risk for developing serious infections that may lead to hospitalization or death [see Warnings and Precautions (5.1) , Adverse Reactions (6.1) ]. Most patients who developed these infections were taking concomitant immunosuppressants such as methotrexate or corticosteroids. If a serious infection develops, interrupt TOFIDENCE until the infection is controlled. Reported infections include: Active tuberculosis, which may present with pulmonary or extrapulmonary disease. Patients, except those with COVID-19, should be tested for latent tuberculosis before TOFIDENCE use and during therapy. Treatment for latent infection should be initiated prior to TOFIDENCE use. Invasive fungal infections, including candidiasis, aspergillosis, and pneumocystis. Patients with invasive fungal infections may present with disseminated, rather than localized, disease. Bacterial, viral and other infections due to opportunistic pathogens. The risks and benefits of treatment with TOFIDENCE should be carefully considered prior to initiating therapy in patients with chronic or recurrent infection. Patients should be closely monitored for the development of signs and symptoms of infection during and after treatment with TOFIDENCE, including the possible development of tuberculosis in patients who tested negative for latent tuberculosis infection prior to initiating therapy [see Warnings and Precautions (5.1) ]. WARNING: RISK OF SERIOUS INFECTIONS See full prescribing information for complete boxed warning. Serious infections leading to hospitalization or death including tuberculosis (TB), bacterial, invasive fungal, viral, and other opportunistic infections have occurred in patients receiving tocilizumab products. ( 5.1 ) If a serious infection develops, interrupt TOFIDENCE until the infection is controlled. ( 5.1 ) Perform test for latent TB (except patients with COVID-19); if positive, start treatment for TB prior to starting TOFIDENCE. ( 5.1 ) Monitor all patients for active TB during treatment, even if initial latent TB test is negative. ( 5.1 )",1 INDICATIONS AND USAGE TOFIDENCE™ (tocilizumab-bavi) is an interleukin-6 (IL-6) receptor antagonist indicated for treatment of: Rheumatoid Arthritis (RA) ( 1.1 ) Adult patients with moderately to severely active rheumatoid arthritis who have had an inadequate response to one or more Disease-Modifying Anti-Rheumatic Drugs (DMARDs). Giant Cell Arteritis (GCA) ( 1.2 ) Adult patients with giant cell arteritis. Polyarticular Juvenile Idiopathic Arthritis (PJIA) ( 1.3 ) Patients 2 years of age and ol
124,ammonium bromatum,Ammonium Bromatum,AMMONIUM BROMIDE,,,,None,N/A
125,"avobenzone,homosalate,octisalate,octocrylene",KIZO LAB UV DEFENSE CLEAR SUNSCREN SPF50,HOMOSALATE,,,,None,"Indications & Usage Helps prevent sunburn If used as directed, with other sun protection measures (see Directions), decreases the risk of skin cancer and early skin aging caused by the sun"
126,ammonium carbonicum,Ammonium Carbonicum,AMMONIUM CARBONATE,,,,None,N/A
128,"menthol, methyl salicylate",Mentholatum Pain Relieving,"MENTHOL, UNSPECIFIED FORM",,,,None,Uses temporarily relieves minor aches and pains of muscles and joints due to arthritis simple backache strains sprains
129,aspirin,Rapidol Aspirin,ASPIRIN,,,,None,Uses Temporary relief of minor aches and pains due to: a cold headache backache muscular aches toothache minor pains from arthritis
130,ethyl alcohol,Sierra Soft Alcohol Hand Sanitizer,ALCOHOL,,,,None,Uses For sanitizing to reduce bacteria on the skin.
131,"octocrylene, octisalate, and avobenzone",Reef Kids SPF 30 Oxybenzone Free,OCTOCRYLENE,,,,None,"Uses helps prevent sunburn if used as directed with other sun protection measures (see Directions ), decreases the risk of skin cancer and early skin aging caused by the sun"
132,oseltamivir phosphate,Oseltamivir Phosphate,OSELTAMIVIR PHOSPHATE,,,,None,"1 INDICATIONS AND USAGE Oseltamivir phosphate capsules are influenza neuraminidase inhibitor (NAI) indicated for: Treatment of acute, uncomplicated influenza A and B in patients 2 weeks of age and older who have been symptomatic for no more than 48 hours. ( 1.1 ) Prophylaxis of influenza A and B in patients 1 year and older. ( 1.2 ) Limitations of Use : Not a substitute for annual influenza vaccination. ( 1.3 ) Consider available information on influenza drug susceptibility patterns and treatmen"
133,doxylamine succinate,Sleep Aid,DOXYLAMINE SUCCINATE,,,,None,Use helps to reduce difficulty in falling asleep
136,lamivudine and zidovudine,LAMIVUDINE and ZIDOVUDINE,LAMIVUDINE,,,,"BOXED WARNING WARNING: HEMATOLOGIC TOXICITY, MYOPATHY, LACTIC ACIDOSIS AND SEVERE HEPATOMEGALY WITH STEATOSIS, and EXACERBATIONS OF HEPATITIS B Zidovudine, a component of lamivudine and zidovudine tablets, has been associated with hematologic toxicity including neutropenia and severe anemia, particularly in patients with advanced Human Immunodeficiency Virus (HIV-1) disease [see Warnings and Precautions (5.1)]. Prolonged use of zidovudine has been associated with symptomatic myopathy [see Warnings and Precautions (5.2)]. Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogues, including lamivudine and zidovudine (components of lamivudine and zidovudine tablet). Discontinue lamivudine and zidovudine tablets if clinical or laboratory findings suggestive of lactic acidosis or pronounced hepatotoxicity occur [see Warnings and Precautions (5.3)]. Severe acute exacerbations of hepatitis B have been reported in patients who are co-infected with hepatitis B virus (HBV) and HIV-1 and have discontinued lamivudine, which is one component of lamivudine and zidovudine tablets. Hepatic function should be monitored closely with both clinical and laboratory follow-up for at least several months in patients who discontinue lamivudine and zidovudine tablet and are co-infected with HIV-1 and HBV. If appropriate, initiation of anti-hepatitis B therapy may be warranted [see Warnings and Precautions (5.4)]. WARNING: HEMATOLOGIC TOXICITY, MYOPATHY, LACTIC ACIDOSIS AND SEVERE HEPATOMEGALY WITH STEATOSIS, and EXACERBATIONS OF HEPATITIS B See full prescribing information for complete boxed warning. • Hematologic toxicity, including neutropenia and anemia, has been associated with the use of zidovudine, a component of lamivudine and zidovudine tablets. (5.1) • Symptomatic myopathy associated with prolonged use of zidovudine. (5.2) • Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, have been reported with the use of nucleoside analogues including lamivudine and zidovudine (components of lamivudine and zidovudine tablets). Suspend treatment if clinical or laboratory findings suggestive of lactic acidosis or pronounced hepatotoxicity occur. (5.3) • Severe acute exacerbations of hepatitis B have been reported in patients who are co-infected with hepatitis B virus (HBV) and human immunodeficiency virus (HIV-1) and have discontinued lamivudine, a component of lamivudine and zidovudine tablet. Monitor hepatic function closely in these patients and, if appropriate, initiate anti-hepatitis B treatment. (5.4)","1 INDICATIONS & USAGE Lamivudine and zidovudine tablets a combination of 2 nucleoside analogues, are indicated in combination with other antiretrovirals for the treatment of human immunodeficiency virus type 1 (HIV-1) infection. Lamivudine and zidovudine tablets, a combination of 2 nucleoside analogue reverse transcriptase inibitors, are indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection. (1)"
137,pediculicide,Vamousse Pro Total Lice Emergency Kit,,,,,None,Vamousse Lice Treatment: Treats head lice infestation Vamousse Lice Defense Daily Shampoo: For daily defense against head lice infestations
138,prednisone,Prednisone,PREDNISONE,,,,None,"INDICATIONS AND USAGE Prednisone tablets, USP are indicated in the following conditions: Endocrine Disorders Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance); congenital adrenal hyperplasia; hypercalcemia associated with cancer; nonsuppurative thyroiditis. Rheumatic Disorders As adjuncti"
139,atropine sulfate,Atropine sulfate,ATROPINE SULFATE,,,,None,"1 INDICATIONS & USAGE Atropine Sulfate Injection, USP, is indicated for temporary blockade of severe or life threatening muscarinic effects, e.g., as an antisialagogue, an antivagal agent, an antidote for organophosphorus or muscarinic mushroom poisoning, and to treat bradyasystolic cardiac arrest."
140,potassium chloride,Potassium chloride,POTASSIUM CHLORIDE,,,,None,"1 INDICATIONS & USAGE Potassium Chloride is indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis, in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient. Potassium Chloride is a potassium salt indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis, in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient."
141,cromolyn sodium,Gastrocrom,CROMOLYN SODIUM,,,,None,"INDICATIONS AND USAGE GASTROCROM is indicated in the management of patients with mastocytosis. Use of this product has been associated with improvement in diarrhea, flushing, headaches, vomiting, urticaria, abdominal pain, nausea, and itching in some patients."
142,duloxetine hydrochloride,Duloxetine Delayed-Release,DULOXETINE HYDROCHLORIDE,,,,"WARNING: SUICIDAL THOUGHTS AND BEHAVIORS Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. These studies did not show an increase in the risk of suicidal thoughts and behavior with antidepressant use in patients over age 24; there was a reduction in risk with antidepressant use in patients aged 65 and older [see Warnings and Precautions (5.1) ] . In patients of all ages who are started on antidepressant therapy, monitor closely for worsening, and for emergence of suicidal thoughts and behaviors. Advise families and caregivers of the need for close observation and communication with the prescriber [see Warnings and Precautions (5.1) ] . WARNING: SUICIDAL THOUGHTS AND BEHAVIORS See full prescribing information for complete boxed warning. Increased risk of suicidal thinking and behavior in children, adolescents, and young adults taking antidepressants ( 5.1 ) Monitor for worsening and emergence of suicidal thoughts and behaviors ( 5.1 )",1 INDICATIONS AND USAGE Duloxetine delayed-release capsules is indicated for the treatment of: Major depressive disorder in adults Generalized anxiety disorder in adults and pediatric patients 7 years of age and older Diabetic peripheral neuropathic pain in adults Fibromyalgia in adults and pediatric patients 13 years of age and older Chronic musculoskeletal pain in adults Duloxetine delayed-release capsules are a serotonin and norepinephrine reuptake inhibitor (SNRI) indicated for the treatment
144,tranexamic acid,tranexamic acid,TRANEXAMIC ACID,,,,None,"1 INDICATIONS AND USAGE Tranexamic acid injection, USP is indicated in patients with hemophilia for short-term use (2 to 8 days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. Tranexamic acid injection is an antifibrinolytic indicated in patients with hemophilia for short-term use (2 to 8 days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction. ( 1 )"
145,doxorubicin hydrochloride,Doxorubicin Hydrochloride,DOXORUBICIN HYDROCHLORIDE,,,,"WARNING: CARDIOMYOPATHY, SECONDARY MALIGNANCIES, EXTRAVASATION AND TISSUE NECROSIS, and SEVERE MYELOSUPPRESSION • Cardiomyopathy: Myocardial damage, including acute left ventricular failure, can occur with doxorubicin hydrochloride. The risk of cardiomyopathy is proportional to the cumulative exposure with incidence rates from 1%–20% for cumulative doses ranging from 300 mg/m 2 to 500 mg/m 2 when doxorubicin hydrochloride is administered every 3 weeks. The risk of cardiomyopathy is further increased with concomitant cardiotoxic therapy. Assess left ventricular ejection fraction (LVEF) before and regularly during and after treatment with doxorubicin hydrochloride [see Warnings and Precautions (5.1) ] . • Secondary Malignancies: Secondary acute myelogenous leukemia (AML) and myelodysplastic syndrome (MDS) occur at a higher incidence in patients treated with anthracyclines, including doxorubicin hydrochloride [see Warnings and Precautions (5.2) ] . • Extravasation and Tissue Necrosis: Extravasation of doxorubicin hydrochloride can result in severe local tissue injury and necrosis requiring wide excision of the affected area and skin grafting. Immediately terminate the drug and apply ice to the affected area [see Warnings and Precautions (5.3) ] . • Severe myelosuppression resulting in serious infection, septic shock, requirement for transfusions, hospitalization, and death may occur [see Warnings and Precautions (5.4) ] . WARNING: CARDIOMYOPATHY, SECONDARY MALIGNANCIES, EXTRAVASATION AND TISSUE NECROSIS, and SEVERE MYELOSUPPRESSION See full prescribing information for complete boxed warning. • Cardiomyopathy: Myocardial damage can occur with doxorubicin hydrochloride with incidences from 1%–20% for cumulative doses from 300 mg/m 2 to 500 mg/m 2 when doxorubicin hydrochloride is administered every 3 weeks. The risk of cardiomyopathy is further increased with concomitant cardiotoxic therapy. Assess left ventricular ejection fraction (LVEF) before and regularly during and after treatment with doxorubicin hydrochloride. ( 5.1 ) • Secondary Malignancies: Secondary acute myelogenous leukemia (AML) and myelodysplastic syndrome (MDS) occur at a higher incidence in patients treated with anthracyclines, including doxorubicin hydrochloride. ( 5.2 ) • Extravasation and Tissue Necrosis: Extravasation of doxorubicin hydrochloride can result in severe local tissue injury and necrosis requiring wide excision and skin grafting. Immediately terminate the drug, and apply ice to the affected area. ( 5.3 ) • Severe myelosuppression resulting in serious infection, septic shock, requirement for transfusions, hospitalization, and death may occur. ( 5.4 )","1 INDICATIONS AND USAGE Doxorubicin Hydrochloride Injection is an anthracycline topoisomerase inhibitor indicated: • as a component of multi-agent adjuvant chemotherapy for treatment of women with axillary lymph node involvement following resection of primary breast cancer ( 1.1 ) • for the treatment of: acute lymphoblastic leukemia, acute myeloblastic leukemia, Hodgkin lymphoma, Non-Hodgkin lymphoma, metastatic breast cancer, metastatic Wilms' tumor, metastatic neuroblastoma, metastatic soft ti"
147,ammonium causticum,Ammonium Causticum,AMMONIA,,,,None,N/A
148,"menthol, white petrolatum, zinc oxide",Medline,ZINC OXIDE,,,,None,Uses for the temporary relief of anorectal itching and discomfort in the perianal area associated with anorectal inflammation temporarily forms a protective coating over inflamed tissues to help prevent drying of tissues temporarily protects irritated areas temporarily relieves burning provides temporary relief from skin irritations temporarily protects the inflamed irritated anorectal surface to help make bowel movements less painful temporarily protects inflamed perianal skin temporarily relie
149,ibuprofen,Ibuprofen,IBUPROFEN,,,,"Cardiovascular Thrombotic Events Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal. This risk may occur early in treatment and may increase with duration of use. [See WARNINGS and PRECAUTIONS ]. Ibuprofen tablets are contraindicated in the setting of coronary artery bypass graft (CABG) surgery [see CONTRAINDICATIONS and WARNINGS ]. Gastrointestinal Risk NSAIDS cause an increased risk of serious gastrointestinal adverse events including bleeding, ulceration, and perforation of the stomach or intestines, which can be fatal. These events can occur at any time during use and without warning symptoms. Elderly patients are at greater risk for serious gastrointestinal events. [See WARNINGS ].",INDICATIONS AND USAGE Carefully consider the potential benefits and risks of Ibuprofen tablets and other treatment options before deciding to use ibuprofen. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals [see WARNINGS ]. Ibuprofen tablets are indicated for relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. Ibuprofen tablets are indicated for relief of mild to moderate pain. Ibuprofen tablets are also indicated 
150,levonorgestrel and ethinyl estradiol,Iclevia,,,,,"WARNING: CIGARETTE SMOKING AND SERIOUS CARDIOVASCULAR EVENTS Cigarette smoking increases the risk of serious cardiovascular events from combination oral contraceptive (COC) use. This risk increases with age, particularly in women over 35 years of age, and with the number of cigarettes smoked. For this reason, COCs, including Iclevia, are contraindicated in women who are over 35 years of age and smoke [see Contraindications (4) and Warnings and Precautions (5.1) ]. WARNING: CIGARETTE SMOKING AND SERIOUS CARDIOVASCULAR EVENTS See full prescribing information for complete boxed warning. Iclevia is contraindicated in women over 35 years old who smoke. ( 4 ) Cigarette smoking increases the risk of serious cardiovascular events from combination oral contraceptive (COC) use. ( 5.1 )","1 INDICATIONS AND USAGE Iclevia TM (levonorgestrel and ethinyl estradiol tablets) is indicated for use by females of reproductive potential to prevent pregnancy. Iclevia is a combination of levonorgestrel, a progestin, and ethinyl estradiol, an estrogen, indicated for use by females of reproductive potential to prevent pregnancy. ( 1 )"
151,"adrenalinum, allium cepa, ambrosia artemisiaefolia, arsenicum iodatum, mugwort pollen (artemisia vulgaris), bellis perennis, brassica spp, chenopodium album, euphrasia officinalis, histaminum hydrochloricum, alfalfa pollen (medicago sativa), phleum pratense, yellow dock pollen (rumex crispus), sabadilla, silicea, goldenrod pollen (solidago canadensis), dandelion pollen (taraxacum officinale), red clover pollen (trifolium pratense), xanthium strumarium",Pollen Hayfever,EPINEPHRINE,,,,None,"USES: May help temporarily relieve allergy symptoms ■ runny nose ■ congestion ■ headache ■ itchy, watery eyes, ■ sneezing* *Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated."
152,amitriptyline hydrochloride,Amitriptyline Hydrochloride,AMITRIPTYLINE HYDROCHLORIDE,,,,"Suicidality and Antidepressant Drugs : Antidepressants increased the risk compared to placebo of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Anyone considering the use of amitriptyline hydrochloride tablets or any other antidepressant in a child, adolescent, or young adult must balance this risk with the clinical need. Short-term studies did not show an increase in the risk of suicidality with antidepressants compared to placebo in adults beyond age 24; there was a reduction in risk with antidepressants compared to placebo in adults aged 65 and older. Depression and certain other psychiatric disorders are themselves associated with increases in the risk of suicide. Patients of all ages who are started on antidepressant therapy should be monitored appropriately and observed closely for clinical worsening, suicidality, or unusual changes in behavior. Families and caregivers should be advised of the need for close observation and communication with the prescriber. Amitriptyline hydrochloride tablets are not approved for use in pediatric patients (see WARNINGS: Clinical Worsening and Suicide Risk, PRECAUTIONS: Information for Patients, and PRECAUTIONS: Pediatric Use).",INDICATIONS AND USAGE For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.
153,ammonium muriaticum,Ammonium Muriaticum,AMMONIUM CHLORIDE,,,,None,N/A
154,ammonium phosphoricum,Ammonium Phosphoricum,"AMMONIUM PHOSPHATE, DIBASIC",,,,None,N/A
155,"acetaminophen, diphenhydramine hydrochloride, and phenylephrine hydrochloride",Childrens Delsym Cough Plus Cold Night Time,ACETAMINOPHEN,,,,None,Uses temporarily relieves these common cold and flu symptoms: cough nasal congestion minor aches and pains sore throat headache runny nose sneezing temporarily reduces fever controls cough to help your child get to sleep
157,pramipexole dihydrochloride,Pramipexole dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,,,,None,1 INDICATIONS AND USAGE Pramipexole dihydrochloride extended-release tablets are indicated for the treatment of Parkinson's disease. Pramipexole dihydrochloride extended-release tablet is a non-ergot dopamine agonist indicated for the treatment of Parkinson’s disease (PD) (1)
158,polyethylene glycol 3350,purelax,POLYETHYLENE GLYCOL 3350,,,,None,Use • relieves occasional constipation (irregularity) • generally produces a bowel movement in 1 to 3 days
160,leflunomide,Leflunomide,LEFLUNOMIDE,,,,"WARNING: EMBRYO-FETAL TOXICITY and HEPATOTOXICITY Embryo-Fetal Toxicity Leflunomide is contraindicated for use in pregnant women because of the potential for fetal harm. Teratogenicity and embryo-lethality occurred in animals administered leflunomide at doses lower than the human exposure level. Exclude pregnancy before the start of treatment with leflunomide in females of reproductive potential. Advise females of reproductive potential to use effective contraception during leflunomide treatment and during an accelerated drug elimination procedure after leflunomide treatment. Stop leflunomide tablets and use an accelerated drug elimination procedure if the patient becomes pregnant. [see Contraindications (4) , Warnings and Precautions ( 5.1 , 5.3 ), Use in Specific Populations ( 8.1 , 8.3 ), and Clinical Pharmacology (12.3) ] Hepatotoxicity Severe liver injury, including fatal liver failure, has been reported in patients treated with leflunomide. Leflunomide is contraindicated in patients with severe hepatic impairment. Concomitant use of leflunomide with other potentially hepatotoxic drugs may increase the risk of liver injury. Patients with pre-existing acute or chronic liver disease, or those with serum alanine aminotransferase (ALT) >2xULN before initiating treatment, are at increased risk and should not be treated with leflunomide. Monitor ALT levels at least monthly for six months after starting leflunomide, and thereafter every 6 to 8 weeks. If leflunomide-induced liver injury is suspected, stop leflunomide treatment, start an accelerated drug elimination procedure, and monitor liver tests weekly until normalized. [see Contraindications (4) , Warnings and Precautions ( 5.2 , 5.3 ), Use in Special Populations (8.6) ] WARNING: EMBRYO-FETAL TOXICITY and HEPATOTOXICITY See full prescribing information for complete boxed warning. Embryo-Fetal Toxicity Teratogenicity and embryo-lethality occurred in animals administered leflunomide. ( 5.1 , 8.1 ) Exclude pregnancy prior to initiating leflunomide tablets therapy. ( 5.1 , 8.3 ) Advise use of effective contraception in females of reproductive potential during treatment and during a drug elimination procedure. ( 5.1 , 5.3 , 8.3 ) Stop leflunomide tablets and use an accelerated drug elimination procedure if the patient becomes pregnant. ( 5.1 , 5.3 , 8.1 ) Hepatotoxicity Severe liver injury and fatal liver failure have been reported. ( 5.2 ) Avoid leflunomide use in patients with pre-existing liver disease, or those with serum alanine aminotransferase (ALT)>2xULN. ( 5.2 , 8.6 ) Use caution when leflunomide is given with other potentially hepatotoxic drugs. ( 5.2 ) Monitor ALT levels. Interrupt leflunomide treatment if ALT elevation > 3 fold ULN. If likely leflunomide-induced, start accelerated drug elimination procedure and monitor liver tests weekly until normalized. ( 5.2 , 5.3 )","1 INDICATIONS AND USAGE Leflunomide Tablets, USP are indicated for the treatment of adults with active rheumatoid arthritis (RA). Leflunomide tablets are a pyrimidine synthesis inhibitor indicated for the treatment of adults with active rheumatoid arthritis. ( 1 )"
161,lubiprostone,Lubiprostone,LUBIPROSTONE,,,,None,"1 INDICATIONS AND USAGE Lubiprostone is a chloride channel activator indicated for the treatment of: chronic idiopathic constipation (CIC) in adults. ( 1.1 ) opioid-induced constipation (OIC) in adult patients with chronic, non-cancer pain, including patients with chronic pain related to prior cancer or its treatment who do not require frequent (e.g., weekly) opioid dosage escalation. ( 1.2 ) Limitations of Use: Effectiveness of lubiprostone in the treatment of OIC in patients taking diphenylhep"
162,verapamil hydrochloride,Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,,,,None,"INDICATIONS AND USAGE Verapamil Hydrochloride Tablets are indicated for the treatment of the following: Angina 1. Angina at rest including: – Vasospastic (Prinzmetal’s variant) angina – Unstable (crescendo, pre-infarction) angina 2. Chronic stable angina (classic effort-associated angina) Arrhythmias 1. In association with digitalis for the control of ventricular rate at rest and during stress in patients with chronic atrial flutter and/or atrial fibrillation (see WARNINGS; Accessory bypass trac"
164,ampicillin sodium and sulbactam sodium,Ampicillin and Sulbactam,AMPICILLIN SODIUM,,,,None,"INDICATIONS AND USAGE Ampicillin and Sulbactam for Injection is indicated for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus , Escherichia coli *, Klebsiella spp.* (including K. pneumoniae *), Proteus mirabilis *, Bacteroides fragilis *, Enterobacter spp.*, and Acinetobacter calcoaceticus * . NOTE: For information on use i"
165,benzocaine,Primo Topical Anesthetic,BENZOCAINE,,,,None,Use For oral mucosal use. Use only as directed by dentist. For the temporary relief of pain due to minor dental procedures.
166,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",UniShield TRIPLE ANTIBIOTIC,BACITRACIN ZINC,,,,None,"Uses First aid to help prevent infection in minor cuts, scrapes and burns"
167,ziprasidone,ziprasidone,ZIPRASIDONE HYDROCHLORIDE,,,,WARNING: INCREASED MORTALITY IN ELDERLY PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Ziprasidone is not approved for the treatment of patients with dementia-related psychosis [see Warnings and Precautions (5.1)] . WARNING: INCREASED MORTALITY IN ELDERLY PATIENTS WITH DEMENTIA-RELATED PSYCHOSIS See full prescribing information for complete boxed warning. Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Ziprasidone is not approved for the treatment of patients with dementia-related psychosis ( 5.1 ),"1 INDICATIONS AND USAGE Ziprasidone capsules are indicated for the treatment of schizophrenia, as monotherapy for the acute treatment of bipolar manic or mixed episodes, and as an adjunct to lithium or valproate for the maintenance treatment of bipolar disorder. When deciding among the alternative treatments available for the condition needing treatment, the prescriber should consider the finding of ziprasidone’s greater capacity to prolong the QT/QTc interval compared to several other antipsych"
168,lidocaine,Lidocaine,LIDOCAINE,,,,None,"INDICATIONS AND USAGE Lidocaine Ointment 5% is indicated for production of anesthesia of accessible mucous membranes of the oropharynx. It is also useful as an anesthetic lubricant for intubation and for the temporary relief of pain associated with minor burns, including sunburn, abrasions of the skin, and insect bites."
169,glipizide,Glipizide,GLIPIZIDE,,,,None,INDICATIONS AND USAGE Glipizide Tablets USP are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
170,"ps-2261 triple antibiotic, 0.5g","PS-2261 Triple Antibiotic, 0.5g",POLYMYXIN B SULFATE,,,,None,"Use(s) First aid to help prevent infection in minor cuts, scrapes, and burns"
172,"white petrolatum, zinc oxide",Medline,ZINC OXIDE,,,,None,"Uses temporarily protects minor cuts, scrapes, and burns temporarily protects and helps relieve chapped or cracked skin"
173,monofluorophosphate,Whitening,SODIUM MONOFLUOROPHOSPHATE,,,,None,Uses aids in the prevention of dental cavities
174,bacitracin,Bacitracin,BACITRACIN,,,,None,Uses first aid to help prevent infection in: • minor cuts • scrapes • burns
